dataset,family,group,label,recall,qps,direction,p,floor,k,beam,edges,hops,bestfirst,walk_l,rounds,frontier,run_index,load1,run_mirror_max,run_finished
cohere10m,hybrid,cohere10m/hybrid,r9461,0.9461,1754.0,R05,16,500,16,24,16,1,0,,,,34,25.37,0.009692132269099202,2026-07-29T12:06:33.900856+00:00
cohere10m,hybrid,cohere10m/hybrid,r9707,0.9707,1189.0,F01,32,1000,16,24,16,2,0,,,,34,25.37,0.009692132269099202,2026-07-29T12:06:33.900856+00:00
cohere10m,hybrid,cohere10m/hybrid,r9832,0.9832,763.0,F02,64,2000,16,24,16,3,0,,,,34,25.37,0.009692132269099202,2026-07-29T12:06:33.900856+00:00
cohere10m,hybrid,cohere10m/hybrid,r9871,0.9871,587.0,R02,96,3000,16,24,16,3,0,,,,34,25.37,0.009692132269099202,2026-07-29T12:06:33.900856+00:00
cohere10m,hybrid,cohere10m/hybrid,r9904,0.9904,481.0,F04,128,4000,16,24,16,3,0,,,,34,25.37,0.009692132269099202,2026-07-29T12:06:33.900856+00:00
cohere10m,hybrid,cohere10m/hybrid,r9912,0.9912,481.0,F05,128,4000,20,24,16,3,0,,,,34,25.37,0.009692132269099202,2026-07-29T12:06:33.900856+00:00
cohere1m,cascade,cohere1m/cascade,r9732,0.9732,1321.0,R05,96,3000,20,0,0,0,0,,,,33,23.73,0.006813020439061317,2026-07-29T11:59:57.190717+00:00
cohere1m,cascade,cohere1m/cascade,r9814,0.9814,1056.0,R04,128,4000,16,0,0,0,0,,,,33,23.73,0.006813020439061317,2026-07-29T11:59:57.190717+00:00
cohere1m,cascade,cohere1m/cascade,r9900,0.99,754.0,R03,192,6000,20,0,0,0,0,,,,33,23.73,0.006813020439061317,2026-07-29T11:59:57.190717+00:00
cohere1m,cascade,cohere1m/cascade,r9925,0.9925,588.0,F03,256,8000,16,0,0,0,0,,,,33,23.73,0.006813020439061317,2026-07-29T11:59:57.190717+00:00
cohere1m,cascade,cohere1m/cascade,r9967,0.9967,410.0,F04,384,12000,20,0,0,0,0,,,,33,23.73,0.006813020439061317,2026-07-29T11:59:57.190717+00:00
cohere1m,cascade,cohere1m/cascade,r9971,0.9971,317.0,F05,512,16000,16,0,0,0,0,,,,33,23.73,0.006813020439061317,2026-07-29T11:59:57.190717+00:00
deep10m,cascade,deep10m/cascade,r9265,0.9265,5422.0,R16,20,192,16,16,24,2,1,,,,22,30.23,0.011250461084470675,2026-07-29T11:31:44.787211+00:00
deep10m,cascade,deep10m/cascade,r9426,0.9425,4790.0,R15,24,320,32,12,32,2,1,,,,22,30.23,0.011250461084470675,2026-07-29T11:31:44.787211+00:00
deep10m,cascade,deep10m/cascade,r9603,0.9603,3986.0,R14,28,256,48,24,32,2,1,,,,22,30.23,0.011250461084470675,2026-07-29T11:31:44.787211+00:00
deep10m,cascade,deep10m/cascade,r9720,0.972,3197.0,R13,32,450,32,24,32,3,1,,,,22,30.23,0.011250461084470675,2026-07-29T11:31:44.787211+00:00
deep10m,cascade,deep10m/cascade,r9814,0.9811,2585.0,R12,64,450,32,24,32,3,1,,,,22,30.23,0.011250461084470675,2026-07-29T11:31:44.787211+00:00
deep10m,cascade,deep10m/cascade,r9907,0.9908,1765.0,R11,128,450,32,24,32,3,1,,,,22,30.23,0.011250461084470675,2026-07-29T11:31:44.787211+00:00
deep10m,cascade,deep10m/cascade,r9940,0.9941,1330.0,R10,192,450,64,24,32,3,1,,,,22,30.23,0.011250461084470675,2026-07-29T11:31:44.787211+00:00
deep10m,cascade,deep10m/cascade,r9948,0.9948,1182.0,F07,224,450,64,24,32,3,1,,,,22,30.23,0.011250461084470675,2026-07-29T11:31:44.787211+00:00
deep10m,cascade,deep10m/cascade,r9951,0.9951,1055.0,R08,256,450,64,24,32,3,1,,,,22,30.23,0.011250461084470675,2026-07-29T11:31:44.787211+00:00
deep10m,cascade,deep10m/cascade,r9959,0.9958,874.0,R07,320,450,64,24,32,3,1,,,,22,30.23,0.011250461084470675,2026-07-29T11:31:44.787211+00:00
deep10m,cascade,deep10m/cascade,r9967,0.9966,774.0,F10,384,450,64,24,32,3,1,,,,22,30.23,0.011250461084470675,2026-07-29T11:31:44.787211+00:00
deep10m,cascade,deep10m/cascade,r9976,0.9976,626.0,F11,512,450,64,24,32,3,1,,,,22,30.23,0.011250461084470675,2026-07-29T11:31:44.787211+00:00
deep10m,cascade,deep10m/cascade,r9978,0.9978,545.0,F12,608,450,64,24,32,3,1,,,,22,30.23,0.011250461084470675,2026-07-29T11:31:44.787211+00:00
deep10m,cascade,deep10m/cascade,tail704,0.9978,485.0,R03,704,450,64,24,32,3,1,,,,22,30.23,0.011250461084470675,2026-07-29T11:31:44.787211+00:00
deep10m,cascade,deep10m/cascade,tail768,0.998,452.0,F14,768,450,64,24,32,3,1,,,,22,30.23,0.011250461084470675,2026-07-29T11:31:44.787211+00:00
